Elements	S100001	S100003	S100009	S100015	S100016	S100043	S100046	S100047	S100048	S100049	S100051	S100052	S100058	S100060	S100062	S100065	S100068	S100070	S100071	S100072	S100074	S100075	S100077	S100078	S100080	S100083	S100084	S100085	S100086	S100087	S100088	S100089	S100090	S100091	S100092	S100095	S100096	S100099	S100100	S100101	S100102	S100104	S100105	S100106	S100107	S100109	S100115	S100117	S100128	S100143	S100144	S100150	S100151	S100154	S100155	S100156	S100158	S100160	S100161	S100162	S100163	S100164	S100165	S100166	S100167	S100168	S100169	S100170	S100171	S100172	S100173	S100174	S100175	S100176	S100177	S100178	S100180	S100181	S100182	S100183	S100184	S100187	S100188	S100190	S100191	S100192	S100195	S100196	S100197	S100198	S100200	S100202	S100203	S100204	S100205	S100206	S100207	S100209	S100210	S100211	S100212	S100214	S100216	S100217	S100219	S100220	S100221	S100222	S100224	S100225	S100226	S100227	S100228	S100229	S100233	S100234	S7003A	S7003B	S7007	S7010	S7016	S7018	S7021	S7022	S7035	S7037	S7039	S7043	S7049	S7052	S7059	S7061	S7064	S7072	S7077A	S7077B	S7079	S7085	S7094A	S7094B	S7094C	S7095	S7097	S7102	S7111	S7116	S7117	S7123	S7124	S7125	S7126	S7129	S7130	S7134	S7135	S7141	S7145	S7153	S7154	S7156	S7160	S7164	S7168	S7174	S7175A	S7175B	S7178A	S7178B	S7181	S7185	S7200	S7221	S7225	S7228	S7233	S7242A	S7242B	S7250	S7251	S7265	S7267	S7284	S7287	S7295	S7298	S7313	S7325	S7347	S7352	S7355	S7356	S7360	S7361	S7365	S7385	S7429	S7454	S7584	S7594	S7610	S7614	S7615	S7621	S7624	S7632	S7662	S7664	S7749	S7775	S7844	S7848	S7855	S7858	S7859	S7860	S7861	S7862	S7870	S7871	S7879	S7899	S7904	S7906	S7908	S7909	S7910	S7911	S7912
Barnesiella	0	0	0	6	0	0	0	0	0	14	0	0	1	0	7	3	0	0	76	0	5	0	0	72	0	0	10	7	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	5	20	0	0	0	0	0	0	0	0	12	2	0	0	0	0	3	0	0	3	1	0	0	0	13	7	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	6	0	0	36	0	0	0	0	0	0	0	0	1	0	65	0	0	58	0	1	25	21	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	0	45	0	0	0	3	1	20	0	0	0	0	0	7	0	3	0	7	0	0	0	0	0	5	0	0	1	0	197	19	0	0	0	0	0	22	0	0	0	14	3	0	0	0	2	0	0	0	0	0	0	0	16	0	0	8	0	0	0	35	0	2	1	0	11	0	3	0	3	1	0	0	1	0	0	0	2	1
Bifidobacterium	0	17	0	0	2	1	0	7	194	0	24	0	0	0	1	3	0	0	0	5	0	0	0	0	88	16	0	3	3	1	0	0	3	23	1	4	21	0	0	0	8	0	0	4	1	0	0	1	35	0	0	7	1	0	2	0	3	140	1	2	1	0	1	2	3	1	23	3	0	4	7	0	0	1	0	0	10	0	0	12	0	0	0	57	0	13	0	2	5	3	6	0	0	55	15	2	30	49	0	0	0	4	1	10	33	1	8	7	0	5	0	0	34	0	7	5	2	0	0	2	0	20	1	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	10	0	0	0	0	6	0	16	6	0	0	0	0	1	0	0	0	17	0	0	0	0	0	1	0	0	16	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	5	6	0	4	2	1	0	0	5	0	3	0	0	0	0	23	12	0	26
Bilophila	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	7	0	10	17	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	9	9	0	0	0	1	0	24	5	0	0	0	23	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia	211	141	34	38	141	93	211	85	121	38	258	47	267	77	160	87	186	148	197	355	203	190	286	125	201	98	158	177	109	237	83	174	29	330	302	95	237	69	145	356	283	274	81	125	190	143	3	40	203	285	64	113	676	72	262	455	89	0	40	160	371	133	452	65	320	250	362	284	195	155	140	4	1	357	528	39	361	223	141	228	175	2	42	285	48	227	282	269	56	48	133	191	98	458	362	132	154	53	329	736	137	129	101	87	191	227	755	90	108	470	95	147	149	176	26	217	16	5	4	3	3	1	75	29	22	183	43	108	10	72	0	1	5	27	0	14	10	42	0	0	0	0	60	149	43	21	191	177	119	1	70	45	120	6	27	176	52	13	106	58	0	49	40	45	39	31	10	36	13	50	120	107	0	38	7	1	3	205	91	76	15	2	14	10	16	29	6	3	1	15	23	9	12	11	1	27	0	30	16	23	19	5	66	59	4	7	103	38	247	139	167	221	53	83	153	502	307	461	6	90	77	62	159	406	19	288	423	226
Buttiauxella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricicoccus	3	1	6	2	15	3	16	3	13	3	12	0	48	4	1	1	4	2	14	2	2	1	34	13	20	8	1	10	14	3	3	9	2	9	6	49	73	4	0	9	2	0	3	3	4	6	0	5	10	9	33	13	34	5	14	1	5	0	3	19	0	0	12	7	0	2	0	31	4	7	6	0	0	2	3	9	3	10	1	7	2	0	0	17	0	0	2	6	1	12	12	4	8	0	6	0	0	0	2	0	25	0	0	5	3	5	0	6	1	1	4	0	4	13	2	11	0	0	0	0	0	0	4	21	2	8	3	22	3	1	0	0	0	0	1	0	1	9	0	0	0	0	4	1	3	1	35	6	0	2	23	12	2	0	8	1	1	12	2	6	0	14	14	5	12	0	2	0	0	0	0	17	0	3	0	1	0	0	12	9	0	4	2	2	3	4	0	0	0	4	7	0	0	3	0	3	0	1	3	2	0	0	3	0	1	0	2	1	0	42	5	0	3	4	0	2	14	2	0	1	1	2	24	13	0	4	4	6
Butyricimonas	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	10	0	4	0	0	10	10	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	70	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Campylobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catenibacterium	0	0	0	0	0	0	13	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	94	0	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	27	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caulobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_III	0	13	0	1	0	0	0	0	1	0	13	0	11	0	0	1	6	0	10	0	1	0	12	11	13	52	7	0	0	0	3	6	5	17	6	0	40	3	0	2	3	76	10	7	4	7	0	4	0	1	0	0	57	8	0	5	3	0	13	5	0	0	12	8	4	3	0	1	3	7	0	0	0	0	0	24	0	6	0	0	0	0	0	10	2	0	6	6	0	0	0	0	2	1	0	0	3	0	0	0	4	0	0	0	0	0	0	6	6	7	0	0	11	1	1	0	0	0	0	0	1	0	9	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	5	0	0	0	3	0	0	0	9	0	0	12	0	1	0	0	0	0	0	0	22	0	0	0	0	0	4	0	6	0	0	0	0	0	7	3	0	0	1	1	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	16	3	11	0	0	6	8	4	0	7	2	9	8	35	3	9	61	0
Clostridium_IV	7	1	0	4	1	0	10	1	0	13	3	0	3	1	5	8	0	0	0	0	1	0	5	2	5	2	5	0	0	0	1	0	0	2	2	0	0	0	0	6	9	4	3	1	9	0	0	0	0	1	0	0	2	0	0	0	1	0	4	6	0	1	1	3	2	2	0	1	5	2	0	0	0	0	14	0	11	5	4	6	0	0	0	0	2	0	11	3	0	0	2	1	3	0	0	0	15	0	0	0	2	1	2	1	0	3	0	2	2	6	3	0	11	11	4	0	0	1	1	0	0	1	8	0	1	18	0	6	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	2	21	0	0	0	1	1	1	3	14	0	1	0	6	0	0	0	1	0	2	0	23	0	1	0	0	0	1	3	28	1	0	0	0	1	6	1	0	0	1	1	1	0	10	0	0	0	2	0	0	0	0	5	1	0	84	1	0	3	1	5	13	13	1	0	3	14	5	0	40	5	1	1	1	6	3	9	6
Clostridium_sensu_stricto	0	3	1	16	3	15	0	1	0	5	2	0	0	0	1	72	0	0	4	1	1	9	0	10	0	1	6	0	0	19	0	0	0	6	0	0	0	0	0	2	39	6	22	1	1	0	0	0	0	1	0	0	0	0	3	0	0	0	7	8	0	0	0	11	1	0	0	1	4	2	1	0	0	0	1	13	0	0	0	6	0	0	0	1	2	0	0	41	0	1	0	0	0	1	0	10	6	5	0	4	0	1	0	1	0	0	0	0	0	8	0	263	0	2	9	0	0	0	0	0	0	14	0	2	0	0	0	0	0	144	69	543	0	88	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	263	0	0	0	0	0	0	58	0	0	0	0	0	0	95	9	0	0	0	1	1	2	0	10	0	9	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	19	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	4	0	4	0	4
Clostridium_XI	5	3	0	2	6	3	3	5	0	0	2	2	3	1	11	11	6	2	3	4	0	8	0	5	8	12	2	2	2	7	2	1	6	7	1	0	29	7	2	4	16	0	8	2	6	0	1	1	0	4	6	7	1	3	24	4	14	0	0	11	0	2	0	11	2	0	12	6	1	20	24	2	0	9	2	2	1	1	0	39	6	0	1	0	0	3	2	3	0	1	2	2	3	24	1	5	2	13	1	25	1	2	3	1	9	9	4	0	1	1	0	42	15	0	5	1	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	2	0	0	1	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	4	0	1	1	0	2	1	1	1	133	3	1	9	2	1	0	0	1	6	6	26	0	113	17	23
Clostridium_XlVa	10	3	11	7	2	10	63	9	4	2	1	15	2	24	8	0	21	6	12	38	16	48	7	5	0	2	7	1	0	14	3	1	3	1	6	1	8	7	301	4	61	4	3	1	0	3	90	10	7	41	6	14	68	0	3	6	1	0	1	1	40	9	8	4	0	23	0	11	2	2	2	1	0	26	34	1	40	13	6	4	14	0	2	8	2	23	6	34	6	4	18	75	22	59	14	0	3	36	16	22	3	41	11	8	4	1	30	5	2	39	0	22	6	7	7	9	45	17	150	47	3	3	1	60	265	209	0	4	53	190	0	15	34	14	7	11	1	57	0	7	18	0	27	26	9	52	182	70	3	2	6	11	99	7	17	37	11	124	2	0	30	276	112	53	6	38	11	1	8	80	199	60	0	6	1	4	7	17	114	6	12	1	29	54	7	1	4	7	0	1	1	0	0	10	0	21	0	4	3	3	58	16	2	123	77	0	8	2	3	15	2	0	0	1	4	6	16	100	2	3	4	1	2	10	0	9	21	3
Clostridium_XlVb	0	6	0	7	1	0	0	1	6	0	0	7	0	0	34	0	3	3	1	0	3	0	9	1	0	0	2	0	3	22	1	6	1	0	4	8	7	3	0	4	3	1	6	0	0	1	0	1	0	2	0	1	1	0	0	0	2	0	5	0	2	2	0	5	0	7	1	2	1	4	0	3	0	0	0	0	0	1	4	0	0	0	1	0	3	0	0	1	0	0	5	0	3	0	0	0	0	20	0	0	2	1	15	0	1	0	0	9	6	0	1	0	0	5	1	0	0	0	0	0	3	0	1	0	0	85	8	33	17	0	15	0	0	0	0	0	1	0	0	2	1	0	65	22	27	0	13	27	0	12	0	36	2	0	0	4	0	36	6	7	0	0	0	95	0	1	13	5	11	0	3	49	0	1	1	0	1	5	6	7	0	0	12	4	13	12	8	1	0	0	1	0	9	1	0	2	0	1	0	0	0	0	15	9	8	0	17	0	14	8	1	0	8	14	5	7	2	13	0	0	1	1	1	0	0	0	0	0
Clostridium_XVIII	7	7	0	8	2	17	3	9	16	0	31	9	5	3	4	9	5	10	37	7	35	65	68	11	5	0	17	4	10	120	36	10	18	49	83	4	2	2	65	15	19	37	2	6	22	5	5	0	48	17	8	0	6	4	69	0	47	2	3	4	235	3	19	1	12	7	0	2	14	23	8	12	2	174	14	6	31	3	1	10	2	0	3	5	0	42	5	74	3	26	3	2	0	250	2	20	0	270	8	92	12	11	0	76	12	350	27	2	73	70	0	44	2	115	7	304	142	23	38	23	2	1749	334	40	5	9	1	1	2	131	2	2	0	351	0	1	7	14	0	27	6	0	58	295	38	38	90	7	35	2	0	6	163	3	10	15	30	23	0	17	214	27	12	0	3	0	0	0	738	605	218	6	5	16	1	0	15	71	14	5	109	0	14	57	12	9	11	2	0	8	39	1	2	6	5	2	12	0	4	0	1	16	2	94	16	0	3	93	42	29	28	7	2	2	8	85	35	97	0	56	3	15	91	81	6	74	8	18
Collinsella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
Comamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprobacillus	4	2	0	8	0	0	1	1	1	0	1	0	0	1	2	0	14	1	5	8	0	0	0	1	0	0	0	0	1	0	0	0	2	4	0	13	3	0	0	0	8	0	0	7	0	1	0	2	2	23	0	1	4	0	1	0	0	0	0	4	3	0	0	1	0	17	0	8	0	0	0	0	0	0	0	1	0	0	3	5	0	0	4	0	2	0	24	11	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	6	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	3	9	2	3	0	2	0	2	0	0	17	0	1	5	0	0	7	0	5	5	2	2	4	0	0	4	0	19	0	0	0	14	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	6	2	2	1	19	1	13	0	0	3	5	1	0	2	2	1	0
Coprococcus	53	0	4	3	10	0	0	0	37	4	46	7	0	0	12	0	0	2	20	2	8	0	0	18	22	25	29	6	18	11	5	13	0	63	51	6	35	11	2	35	2	0	11	26	1	19	0	0	44	8	0	13	15	15	24	34	21	0	27	2	63	4	22	17	0	0	1	22	4	33	26	1	0	0	0	0	0	7	55	2	0	0	10	24	6	0	38	80	7	2	96	0	0	104	35	5	40	0	0	0	5	64	0	14	46	4	20	20	11	1	2	1	18	3	3	0	0	0	3	0	0	0	8	2	0	9	12	9	0	0	0	0	0	6	0	15	2	28	0	0	1	0	11	46	17	0	14	52	0	7	0	49	0	2	2	0	12	11	19	21	0	0	60	3	0	2	0	6	33	27	0	8	0	25	1	0	0	18	5	33	0	0	20	7	6	5	2	0	0	13	0	2	2	8	2	3	0	9	0	1	0	0	5	12	0	1	16	3	0	16	16	6	29	14	9	24	17	0	2	49	12	11	35	40	2	54	114	87
Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter	0	0	50	0	0	3	0	3	4	0	0	14	0	1	0	9	0	0	0	4	22	135	0	0	0	1	3	0	0	3	1	0	11	0	0	15	0	2	24	0	6	0	0	0	1	1	180	0	1	0	0	0	0	0	2	0	0	0	0	0	27	103	0	0	0	0	1	0	3	0	3	0	0	2	0	0	5	0	23	2	2	0	0	1	0	17	0	0	0	0	0	10	0	4	0	0	0	1	0	0	0	1	0	11	1	9	1	0	0	73	1	9	0	0	6	0	0	5	42	31	0	166	0	62	15	0	0	0	4	411	0	101	398	296	18	1	0	21	12	19	9	3	16	3	21	47	0	341	0	0	5	0	397	280	131	0	0	37	334	0	236	4	9	1	0	0	0	0	44	53	470	0	149	200	7	3	50	332	1	0	410	158	3	88	18	0	0	17	2	0	1	0	5	0	0	24	18	2	0	0	0	20	11	28	38	0	0	36	0	1	0	6	0	1	1	0	0	2	0	0	1	0	0	0	0	0	33	0
