Elements	Phylum	Class	Order	Family
Dorea	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Pseudobutyrivibrio	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Clostridium_XlVa	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Clostridium_sensu_stricto	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1
Finegoldia	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI
Lactobacillus	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
Streptococcus	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
Enterococcus	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae
Weissella	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae
Staphylococcus	Firmicutes	Bacilli	Bacillales	Staphylococcaceae
Gemella	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XI
Megasphaera	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Veillonella	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Megamonas	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Dialister	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Mitsuokella	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Phascolarctobacterium	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae
Acidaminococcus	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae
Catenibacterium	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Turicibacter	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Akkermansia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae
Streptophyta	Cyanobacteria_Chloroplast	Chloroplast	Chloroplast	Chloroplast
Fusobacterium	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
Pseudoflavonifractor	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Sporobacter	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Clostridium_XlVb	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Howardella	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Oribacterium	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Mogibacterium	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XIII
Peptoniphilus	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae
Eubacterium	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae
Pantoea	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Comamonas	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
Acidovorax	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
Oxalobacter	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
Aquabacterium	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis
Slackia	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae
Victivallis	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae
Anaeroplasma	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae
Aggregatibacter	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
Buttiauxella	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Ralstonia	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
Delftia	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
Paracoccus	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
Murdochiella	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI
Yersinia	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Campylobacter	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae
Acetobacterium	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae
Pediococcus	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
Lactococcus	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
Leuconostoc	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae
Holdemania	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Serratia	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Enhydrobacter	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
Cloacibacillus	Synergistetes	Synergistia	Synergistales	Synergistaceae
Cronobacter	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Clostridium_III	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Erysipelotrichaceae_incertae_sedis	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Bacillus	Firmicutes	Bacilli	Bacillales	Bacillaceae_1
Subdoligranulum	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Parvimonas	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI
Solobacterium	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Clostridium_XVIII	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Kosakonia	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Atopobium	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae
Clostridium_XI	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
Anaerococcus	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI
Abiotrophia	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae
Saccharofermentans	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Coprobacillus	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Proteus	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Anaerofilum	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Ochrobactrum	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae
Cetobacterium	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
Caulobacter	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
Hespellia	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Methanobrevibacter	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae
Asteroleplasma	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae
Stenotrophomonas	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
Raoultella	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Lactonifactor	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Rhizobium	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
Sphingobium	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
Acetanaerobacterium	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Propionibacterium	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae
Succiniclasticum	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae
Eggerthella	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae
Cupriavidus	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
Flavobacterium	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
Robinsoniella	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Papillibacter	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Anaerovorax	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XIII
Enterorhabdus	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae
Citrobacter	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Pseudoramibacter	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae
Paraeggerthella	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae
Anaerofustis	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae
Cellulosilyticum	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Cloacibacterium	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
Tannerella	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
Sneathia	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae
Dysgonomonas	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
Rikenella	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae
Syntrophococcus	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Ethanoligenens	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Vampirovibrio	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae
Leifsonia	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae
Herbaspirillum	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
Syntrophomonas	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae
Herminiimonas	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
Allobaculum	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Dyella	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
Sarcina	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
Guggenheimella	Firmicutes	Clostridia	Clostridiales	Acidaminobacteraceae
Marinomonas	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae
Tetragenococcus	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae
Anaerobacillus	Firmicutes	Bacilli	Bacillales	Bacillaceae
